iter	RMSE
0	0.02153170622
1	0.02101643405
2	0.02036879258
3	0.01954367356
4	0.01883081606
5	0.01835929231
6	0.01783293581
7	0.01728537129
8	0.01674826385
9	0.01645790518
10	0.01599468472
11	0.01566128364
12	0.01524206543
13	0.01493721005
14	0.01467199503
15	0.01445265932
16	0.01427273557
17	0.01390375798
18	0.01374368466
19	0.01355566475
20	0.01341578203
21	0.0132309401
22	0.01299461742
23	0.01274773583
24	0.01251959826
25	0.0123384728
26	0.01214633063
27	0.01199874108
28	0.01179789896
29	0.01170302291
30	0.01160275812
31	0.01127489844
32	0.01111264733
33	0.01092482261
34	0.01069389108
35	0.01047861362
36	0.0102711205
37	0.01008556991
38	0.009947050952
39	0.009869048444
40	0.009701079528
41	0.009532930662
42	0.009460900202
43	0.009253082721
44	0.009115139825
45	0.00893774491
46	0.008900745674
47	0.008799921105
48	0.008627322236
49	0.008594886418
50	0.008445146176
51	0.008305570129
52	0.00820241884
53	0.008082263837
54	0.007874257438
55	0.007747103873
56	0.007664701345
57	0.007613099554
58	0.007526029768
59	0.007481167118
60	0.007428545345
61	0.007309853202
62	0.007217340462
63	0.007133463491
64	0.006988060668
65	0.006925998714
66	0.006903599109
67	0.00685136044
68	0.006752395571
69	0.006665449742
70	0.006649843899
71	0.006548149021
72	0.006458278886
73	0.006341122597
74	0.006261909627
75	0.006198681364
76	0.006137759749
77	0.006042766336
78	0.006003965668
79	0.005909974639
80	0.005878162659
